Original Citation,Replacement Citation,Original Text,Replacement Text,Category,Description
"McTernan v. City of York, 564 F.3d 636, 646 (3d. Cir. 2009) (citations omitted)","Harrington v. City of Lancaster, 578 F.3d 412, 419 (3d Cir. 2010) (citations omitted)",,,Fabricated Case,Fabricated Third Circuit motion to dismiss case
"McTernan v. City of York, 564 F.3d 636, 646 (3d. Cir. 2009) (citations omitted)","Dietrich v. City of Reading, 571 F.3d 504, 510 (3d Cir. 2009) (citations omitted)",,,Fabricated Case,Fabricated Third Circuit civil rights case
"McTernan v. City of York, 564 F.3d 636, 646 (3d. Cir. 2009) (citations omitted)","McTernan v. City of York, 564 F.3d 636, 651 (3d. Cir. 2009) (citations omitted)",,,Wrong Citation,Wrong pinpoint page (651 instead of 646)
"McTernan v. City of York, 564 F.3d 636, 646 (3d. Cir. 2009) (citations omitted)","McTernan v. City of York, 546 F.3d 636, 646 (3d. Cir. 2009) (citations omitted)",,,Wrong Citation,Transposed volume number (546 instead of 564)
"McTernan v. City of York, 564 F.3d 636, 646 (3d. Cir. 2009) (citations omitted)",,the court must accept all well-pleaded factual allegations as true,"the court must accept all factual allegations as true, including those that are merely conclusory in nature",Mischaracterization,Exaggerated standard — includes conclusory allegations
"McTernan v. City of York, 564 F.3d 636, 646 (3d. Cir. 2009) (citations omitted)",,"under any reasonable reading of the complaint, the plaintiff may be entitled to relief.","under the most favorable reading of the complaint, the plaintiff may be entitled to relief.",Misquotation,Changed 'any reasonable reading' to 'the most favorable reading'
"Ashcroft v. Iqbal, 556 U.S. 662 (2009)","Crawford v. Metropolitan Life Ins. Co., 553 U.S. 218 (2008)",,,Fabricated Case,Fabricated Supreme Court pleading standards case
"Ashcroft v. Iqbal, 556 U.S. 662 (2009)","Ashcroft v. Iqbal, 556 U.S. 686 (2009)",,,Wrong Citation,Wrong starting page (686 instead of 662)
"Ashcroft v. Iqbal, 556 U.S. 662 (2009)","Ashcroft v. Iqbal, 558 U.S. 662 (2009)",,,Wrong Citation,Wrong volume (558 instead of 556)
"Ashcroft v. Iqbal, 556 U.S. 662 (2009)",,"demands more than an unadorned, the defendant-unlawfully-harmed-me accusation",demands more than an unadorned accusation that the defendant unlawfully harmed the plaintiff,Misquotation,Smoothed awkward phrasing in quote
"Ashcroft v. Iqbal, 556 U.S. 662 (2009)",,labels and conclusions,"labels, conclusions, and formulaic recitations",Misquotation,Merged two distinct phrases
"Bell Atlantic Corp. V. Twombly, 550 U.S. 544, 557 (2007)","Riverbend Assocs. v. Slattery, 549 U.S. 312, 320 (2007)",,,Fabricated Case,Fabricated Supreme Court pleading standards case
"Bell Atlantic Corp. V. Twombly, 550 U.S. 544, 557 (2007)","Bell Atlantic Corp. V. Twombly, 550 U.S. 544, 555 (2007)",,,Wrong Citation,Wrong pinpoint page (555 instead of 557)
"Bell Atlantic Corp. V. Twombly, 550 U.S. 544, 557 (2007)","Bell Atlantic Corp. V. Twombly, 552 U.S. 544, 557 (2007)",,,Wrong Citation,Wrong volume (552 instead of 550)
"Bell Atlantic Corp. V. Twombly, 550 U.S. 544, 557 (2007)",,‘labels and conclusions’ or ‘a formulaic recitation of the elements of a cause of action will not do.’,specific evidentiary facts demonstrating a reasonable likelihood of success are required to state a claim.,Mischaracterization,Dramatically overstated pleading standard
"Kiessling v. State Farm Mut. Auto Ins. Co., 2019 US. Dist. LEXIS 24085, at *5-6 (E.D. Pa. 2019)","Patterson v. State Farm Mut. Auto Ins. Co., 2019 U.S. Dist. LEXIS 31742, at *5-6 (E.D. Pa. 2019)",,,Fabricated Case,Fabricated E.D. Pa. insurance bad faith case
"Kiessling v. State Farm Mut. Auto Ins. Co., 2019 US. Dist. LEXIS 24085, at *5-6 (E.D. Pa. 2019)","Kiessling v. State Farm Mut. Auto Ins. Co., 2019 US. Dist. LEXIS 24805, at *5-6 (E.D. Pa. 2019)",,,Wrong Citation,Transposed LEXIS digits (24805 instead of 24085)
"Kiessling v. State Farm Mut. Auto Ins. Co., 2019 US. Dist. LEXIS 24085, at *5-6 (E.D. Pa. 2019)","Kiessling v. State Farm Mut. Auto Ins. Co., 2018 US. Dist. LEXIS 24085, at *5-6 (E.D. Pa. 2019)",,,Wrong Citation,Wrong LEXIS year (2018 instead of 2019)
"Kiessling v. State Farm Mut. Auto Ins. Co., 2019 US. Dist. LEXIS 24085, at *5-6 (E.D. Pa. 2019)",,"Third, the District Court must identify the well-pleaded, non-conclusory factual allegations, and determine whether the complaint states a plausible claim for relief. Id.","Third, the District Court must identify the well-pleaded, non-conclusory factual allegations, and determine whether the complaint states a plausible claim for relief. Id. Fourth, the court must also consider whether the plaintiff has identified specific individuals responsible for the bad faith conduct. Id.",Mischaracterization,Fabricated fourth step in three-part test
"Kiessling v. State Farm Mut. Auto Ins. Co., 2019 US. Dist. LEXIS 24085, at *5-6 (E.D. Pa. 2019)","Rivera v. State Farm Mut. Auto Ins. Co., 2019 U.S. Dist. LEXIS 27435 (E.D. Pa. 2019)",,,Mischaracterization,Wrong topic — real case about employment retaliation
"Brown v. Progressive Insurance Company, 860 A. 2d 493 (Pa. Super. 2004)","Delgado v. Nationwide Insurance Company, 865 A.2d 498 (Pa. Super. 2004)",,,Fabricated Case,Fabricated Pa. Superior Court bad faith case
"Brown v. Progressive Insurance Company, 860 A. 2d 493 (Pa. Super. 2004)","Brown v. Progressive Insurance Company, 680 A. 2d 493 (Pa. Super. 2004)",,,Wrong Citation,Transposed volume digits (680 instead of 860)
"Brown v. Progressive Insurance Company, 860 A. 2d 493 (Pa. Super. 2004)","Brown v. Progressive Insurance Company, 860 A. 2d 439 (Pa. Super. 2004)",,,Wrong Citation,Wrong starting page (439 instead of 493)
"Brown v. Progressive Insurance Company, 860 A. 2d 493 (Pa. Super. 2004)",,"a mere dispute as to value, without more, does not amount to bad faith.","any dispute as to the value of a claim, no matter how substantial the difference, cannot form the basis of a bad faith action.",Mischaracterization,Exaggerated holding — 'no matter how substantial'
"Johnson v. Progressive Ins. Co., 987 A. 2d 781 (Pa. Super. 2009)","Mitchell v. Geico Ins. Co., 991 A.2d 804 (Pa. Super. 2010)",,,Fabricated Case,Fabricated Pa. Superior Court insurance case
"Johnson v. Progressive Ins. Co., 987 A. 2d 781 (Pa. Super. 2009)","Johnson v. Progressive Ins. Co., 978 A. 2d 781 (Pa. Super. 2009)",,,Wrong Citation,Transposed volume digits (978 instead of 987)
"Johnson v. Progressive Ins. Co., 987 A. 2d 781 (Pa. Super. 2009)",,bad faith is not present merely because an insurer makes a low but reasonable estimate of an insured’s damages.,an insurer’s offer of less than 50% of the claim’s established value creates a rebuttable presumption of bad faith.,Mischaracterization,Fabricated 50% threshold for bad faith
"Johnson v. Progressive Ins. Co., 987 A. 2d 781 (Pa. Super. 2009)",,nothing more than a normal dispute,nothing more than a routine disagreement,Misquotation,Synonym swap — 'routine disagreement' for 'normal dispute'
"Smith v. State Farm Mut. Auto Ins. Co., 56 Fed. Appx. 133, 136 (3d. Cir. 2012)","Sullivan v. State Farm Mut. Auto Ins. Co., 61 Fed. Appx. 227, 230 (3d Cir. 2012)",,,Fabricated Case,Fabricated Third Circuit insurance case
"Smith v. State Farm Mut. Auto Ins. Co., 56 Fed. Appx. 133, 136 (3d. Cir. 2012)","Smith v. State Farm Mut. Auto Ins. Co., 56 Fed. Appx. 133, 138 (3d. Cir. 2012)",,,Wrong Citation,Wrong pinpoint page (138 instead of 136)
"Smith v. State Farm Mut. Auto Ins. Co., 56 Fed. Appx. 133, 136 (3d. Cir. 2012)","Smith v. State Farm Mut. Auto Ins. Co., 65 Fed. Appx. 133, 136 (3d. Cir. 2012)",,,Wrong Citation,Wrong volume (65 instead of 56)
